language,page_id,read_order_edit,collapsed_gcer,gold_lines,pred_lines,anchor_match_rate
Assyrian-English,page_352,0.527778,0.233681,36,36,0.472222
Assyrian-English,page_39,0.677419,0.33796,31,29,0.322581
Assyrian-English,page_842,0.694444,0.251007,36,37,0.305556
Canala-English,page_12,0.05814,0.002579,86,86,0.94186
Canala-English,page_30,0.376471,0.030624,85,85,0.623529
Canala-English,page_64,0.197674,0.011311,86,86,0.802326
Chepang-English,page_103,0.494118,0.044326,85,85,0.505882
Chepang-English,page_304,0.05814,0.001821,86,86,0.94186
Chepang-English,page_37,0.186047,0.022408,86,87,0.813953
Chukchi-Russian,page_26,0.636364,0.051592,33,33,0.363636
Chukchi-Russian,page_3,0.787879,0.056561,33,33,0.212121
Chukchi-Russian,page_48,0.617647,0.043977,34,34,0.382353
Circassian-English-Turkish,page_1,0.632911,0.449129,79,79,0.367089
Circassian-English-Turkish,page_2,0.633803,0.454861,71,71,0.366197
Circassian-English-Turkish,page_3,0.623188,0.503356,69,71,0.376812
Efik-English,page_13,0.031915,0.001145,94,94,0.968085
Efik-English,page_25,0.105769,0.023095,104,106,0.894231
Efik-English,page_32,0.394231,0.022121,104,106,0.605769
Evenki-Russian,page_1,0.25,0.01063,104,104,0.75
Evenki-Russian,page_2,0.771084,0.052108,83,83,0.228916
Evenki-Russian,page_3,0.096154,0.004283,104,104,0.903846
Georgian-Russian,page_116,0.211765,0.012415,85,85,0.788235
Greek-English,page_302,0.072072,0.019492,111,114,0.927928
Greek-English,page_38,0.558559,0.034877,111,113,0.441441
Greek-English,page_451,0.063063,0.019527,111,114,0.936937
Iñupiatun Eskimo-English,page_201,0.036036,0.00124,111,111,0.963964
Iñupiatun Eskimo-English,page_206,0.063063,0.002525,111,110,0.936937
Iñupiatun Eskimo-English,page_42,0.099099,0.002828,111,110,0.900901
Japanese-English,page_137,0.195489,0.014577,133,137,0.804511
Japanese-English,page_351,0.147059,0.005507,136,134,0.852941
Kashmiri-English,page_14,0.859375,0.713419,64,152,0.140625
Kashmiri-English,page_39,0.720588,0.686184,68,140,0.279412
Kashmiri-English,page_71,0.809524,0.708904,63,148,0.190476
Khmer-English,page_116,0.175824,0.020277,91,89,0.824176
Khmer-English,page_143,0.111111,0.045005,90,131,0.888889
Khmer-English,page_8,0.945205,0.008856,73,101,0.054795
Malay-English,page_250,0.388889,0.020672,72,74,0.611111
Malay-English,page_315,0.430556,0.067842,72,74,0.569444
Malay-English,page_404,0.616438,0.038633,73,75,0.383562
Na-English-Chinese-French,page_186,0.252874,0.013353,87,88,0.747126
Na-English-Chinese-French,page_19,0.224719,0.008418,89,89,0.775281
Na-English-Chinese-French,page_321,0.023529,0.000716,85,86,0.976471
Nahuatl-French,page_244,0.137255,0.003467,102,101,0.862745
Nahuatl-French,page_74,0.235294,0.005501,102,101,0.764706
Nahuatl-French,page_75,0.019608,0.000702,102,102,0.980392
Reel-English,page_17,0.0,0.0,46,47,1.0
Reel-English,page_47,0.0,0.0,48,48,1.0
Reel-English,page_89,0.0,0.0,46,46,1.0
Ritharngu-English,page_185,0.185185,0.012897,81,81,0.814815
Ritharngu-English,page_205,0.547619,0.036654,84,84,0.452381
Ritharngu-English,page_232,0.367816,0.019625,87,87,0.632184
Shilluk-English,page_28,0.127273,0.002365,55,56,0.872727
Shilluk-English,page_3,0.0,0.0,50,51,1.0
Shilluk-English,page_7,0.054545,0.001433,55,55,0.945455
Syriac-English,page_33,0.561404,0.103046,57,59,0.438596
Syriac-English,page_55,0.655172,0.133333,58,56,0.344828
Syriac-English,page_75,0.631579,0.12145,57,57,0.368421
Telugu-English,page_151,0.364865,0.043321,74,77,0.635135
Telugu-English,page_646,0.152778,0.013405,72,72,0.847222
Telugu-English,page_80,0.283582,0.013793,67,67,0.716418
Thai-Russian,page_591,0.569231,0.05636,65,67,0.430769
Thai-Russian,page_67,0.924242,0.123039,66,66,0.075758
Thai-Russian,page_756,0.923077,0.083373,65,65,0.076923
Tiri-English,page_15,0.12,0.007143,75,75,0.88
Tiri-English,page_56,0.183908,0.010707,87,87,0.816092
Tiri-English,page_66,0.105882,0.005176,85,85,0.894118
Vernacular Syriac-Kurdish_Turkish-English,page_228,0.659341,0.090799,91,89,0.340659
Vernacular Syriac-Kurdish_Turkish-English,page_26,0.688172,0.088197,93,90,0.311828
Vernacular Syriac-Kurdish_Turkish-English,page_41,0.722222,0.139803,90,88,0.277778
Yiddish-English,page_1,0.541176,0.043107,85,84,0.458824
