page_id,TextEdit,GCER,WER
Evenki-Russian/page_1,0.010459,0.009062,0.05157
Evenki-Russian/page_2,0.004444,0.00295,0.019481
Evenki-Russian/page_3,0.008828,0.007689,0.048193
Japanese-English/page_137,0.006846,0.006526,0.030189
Japanese-English/page_351,0.026751,0.014519,0.024752
Kashmiri-English/page_14,0.049322,0.061053,0.235294
Kashmiri-English/page_39,0.022965,0.029452,0.153439
Kashmiri-English/page_71,0.14606,0.174501,0.283333
Khmer-English/page_116,0.019922,0.017897,0.048387
Khmer-English/page_143,0.018096,0.010381,0.046729
Khmer-English/page_8,0.075493,0.175194,0.246154
Na-English-Chinese-French/page_186,0.016265,0.015642,0.092275
Na-English-Chinese-French/page_19,0.020697,0.01595,0.063366
Na-English-Chinese-French/page_321,0.010076,0.010701,0.056485
Shilluk-English/page_28,0.002687,0.002664,0.016636
Shilluk-English/page_3,0.023173,0.010595,0.014742
Shilluk-English/page_7,0.009639,0.009599,0.129787
__aggregate__,0.025077,0.022826,0.069803
