page_id,typography_f1
Evenki-Russian/page_1,0.9921
Evenki-Russian/page_2,0.9838
Evenki-Russian/page_3,0.9948
Japanese-English/page_137,0.913
Japanese-English/page_351,0.7384
Kashmiri-English/page_14,0.0
Kashmiri-English/page_39,0.3684
Kashmiri-English/page_71,0.0
Khmer-English/page_116,0.0
Khmer-English/page_143,0.0
Khmer-English/page_8,0.0
Na-English-Chinese-French/page_186,0.0
Na-English-Chinese-French/page_19,0.8
Na-English-Chinese-French/page_321,0.0
Shilluk-English/page_28,0.9684
Shilluk-English/page_3,0.9809
Shilluk-English/page_7,0.9646
__aggregate__,0.8602
