page_id,ReadOrderEdit
Evenki-Russian/page_1,0.0
Evenki-Russian/page_2,0.0
Evenki-Russian/page_3,0.0
Japanese-English/page_137,0.015038
Japanese-English/page_351,0.022059
Kashmiri-English/page_14,0.0
Kashmiri-English/page_39,0.0
Kashmiri-English/page_71,0.0
Khmer-English/page_116,0.0
Khmer-English/page_143,0.0
Khmer-English/page_8,0.931507
Na-English-Chinese-French/page_186,0.0
Na-English-Chinese-French/page_19,0.0
Na-English-Chinese-French/page_321,0.0
Shilluk-English/page_28,0.0
Shilluk-English/page_3,0.0
Shilluk-English/page_7,0.0
__aggregate__,0.056977
