page_id,typography_f1
Chukchi-Russian/page_26,1.0
Chukchi-Russian/page_3,0.9818
Chukchi-Russian/page_48,1.0
Circassian-English-Turkish/page_1,0.5512
Circassian-English-Turkish/page_2,0.5455
Circassian-English-Turkish/page_3,0.0
Efik-English/page_13,0.9474
Efik-English/page_25,0.9245
Efik-English/page_32,0.7805
Georgian-Russian/page_116,0.9143
Greek-English/page_302,0.5992
Greek-English/page_38,0.5944
Greek-English/page_451,0.7159
Nahuatl-French/page_244,0.9492
Nahuatl-French/page_74,0.9576
Nahuatl-French/page_75,0.7407
Thai-Russian/page_591,0.7686
Thai-Russian/page_67,0.7714
Thai-Russian/page_756,0.6364
Vernacular Syriac-Kurdish_Turkish-English/page_228,0.8033
Vernacular Syriac-Kurdish_Turkish-English/page_26,0.7084
Vernacular Syriac-Kurdish_Turkish-English/page_41,0.7329
__aggregate__,0.7971
