page_id,ReadOrderEdit
Chukchi-Russian/page_26,0.0
Chukchi-Russian/page_3,0.0
Chukchi-Russian/page_48,0.0
Circassian-English-Turkish/page_1,0.734007
Circassian-English-Turkish/page_2,0.478873
Circassian-English-Turkish/page_3,0.471264
Efik-English/page_13,0.0
Efik-English/page_25,0.0
Efik-English/page_32,0.0
Georgian-Russian/page_116,0.023529
Greek-English/page_302,0.0
Greek-English/page_38,0.0
Greek-English/page_451,0.0
Nahuatl-French/page_244,0.0
Nahuatl-French/page_74,0.0
Nahuatl-French/page_75,0.0
Thai-Russian/page_591,0.044118
Thai-Russian/page_67,0.0
Thai-Russian/page_756,0.0
Vernacular Syriac-Kurdish_Turkish-English/page_228,0.0
Vernacular Syriac-Kurdish_Turkish-English/page_26,0.064516
Vernacular Syriac-Kurdish_Turkish-English/page_41,0.044444
__aggregate__,0.08458
