Headword_Phrase	Entry_Type	POS	Translation_RU	Literal_Meaning	Grammar_Notes
aácek, orácek	word	сущ.	молодой человек, юноша, парень		
aacew-matálьn	word	сущ.	шурин; деверь		
aaŋkátьrkьn	word	гл.	растворяется, распарывается, распахивается		прош. II gaaŋkátlen
áaŋkь	word	нар.	настежь, приоткрывшись, распахнувшись		
áaŋkь válьn	word	прил.	распахнутый, раскрытый		
aaŋk-éгьп	word	сущ.	кафтан	распахнутая одежда	
aátgьr, также aátir	word	сущ.	ручей		
ácəq	word	сущ.	утка-савка, морянка		Anas fuligula
ácьŋ	word	сущ.	долг		
acьŋьlьn	word	сущ.	должник		
гаcьŋáйгкьŋen	word	гл.	дает в долг; требует долг		
acьŋьrkьn	word	гл.	кличет его		
acgéмьгra, также acgéмьгraŋ-eur	word	союз	при том же, поелику; к сожалению, к несчастью		
acgéмьгra réen æjgulǽikæ rús-sьmьl	phrase		к сожалению, я еще не умею (говорить) по-русски		
ácgьta	word	нар.	рядом		
ac-úkwьn	word	сущ.	кремень	жирный камень	см. æc/ac
ac-úkwьn mátьcьn	word	сущ.	курок для кремня (в кремневом ружье)		
