Headword_Phrase	Entry_Type	POS	Translation_RU	Literal_Meaning	Grammar_Notes
aácek, orácek	word	сущ.	молодой человек, юноша, парень		
aacew-matáḷьn	word	сущ.	шурин; девер		
aaŋkátьrḳьn	word	гл.	растворяется, распарывается, распахивается		прош. II gaaŋkátḷen
áaŋḳь	word	нар.	настежь, приоткрывшись, распахнувшись		
áaŋḳь válьn	word	прил.	распахнутый, раскрытый		
aaŋk-éґьп	word	сущ.	кафтан	распахнутая одежда	
aátgьr	word	сущ.	ручей		также aátir
ácəq	word	сущ.	утка-савка, морянка		(Anas fuligula)
ácьp	word	сущ.	долг		
acь́pьḷьn	word	сущ.	должник		
гаcьpáurḳьnen	word	гл.	дает в долг; требует долг		
acь́pьrḳьn	word	гл.	кличет его		
acgéмьгra	word	союз	при том же, поелику; к сожалению, к несчастью		также acgéмьгraŋ-eur
II.B.acgéмьгra réen æjguḷáikæ rús-sьmıl	phrase		к сожалению, я еще не умею (говорить) по-русски		
ácgьta	word	нар.	рядом		
ac-úkwьn	word	сущ.	кремень	жирный камень	см. æc/ac
ac-úkwьn mátьcьn	word	сущ.	курок для кремня (в кремневом ружье)		
alewlékъ(ŋ)	word	нар.	гуськом, друг за другом		
alewlékъ válъn	word	прил.	гуськом расположенный, гуськом идущий		
álъm	word	сущ.	лишняя, запасная вещь (в двойном комплекте)		
alъm-érъn	word	сущ.	запасная одежда		
alъm-ŋélgъn	word	сущ.	запасной ремень		
alъmátъrъkъnen	word	гл.	сдваивает, приставляя рядом		
áсъm-ъtъm	word	сущ.	малоберцовая кость голени, также лучевая кость руки	двойная кость	см. lъm
álъmъ(ŋ)	word	союз	положим, что...		
álъmъ tikwæn, ékwurgam aálomkalen	phrase		положим, я сказал, но он не слушает		
álъmŋæ!	phrase		вот как!		
álъŋ	word	нар.	очень, весьма		
álъŋ-atqæ(ŋ)	word	нар.	весьма худо		
álъŋ-tärken ŋælvъl	phrase		очень малое стадо		
ālgáttъ	word	сущ.	топор		отпр. пад. ālgatgájrъ
ālgátgarkъn	word	гл.	рубит		
ālgatgatkórkъn	word	гл.	делает топором что-нибудь		
ālgatgaj-pójgъn	word	сущ.	топорище		
álpъŋъp	word	сущ.	заплата на подошве		
alpъŋъrkъnen	word	гл.	кладет заплату на подошву обуви		
alpíŋpъlgъn	word	сущ.	камбала		И.В.
alva	word				см. ælvæ
