Headword_Phrase	Entry_Type	POS	Translation_RU	Literal_Meaning	Grammar_Notes
aácek, orácek	word	сущ.	молодой человек, юноша, парень		
aacew-matálьn	word	сущ.	шурин || деверь		
aaŋkátьrkьn	word	гл.	растворяется, распарывается, распахивается		прош. II gaaŋkátlen
áaŋkь	word	нар.	настежь, приоткрывшись, распахнувшись		
áaŋkь válьn	word	прил.	распахнутый, раскрытый		
aaŋk-éтъp	word	сущ.	кафтан	распахнутая одежда	
aátgь, также aátir	word	сущ.	ручей		
ácəq	word	сущ.	утка-савка, морянка (Anas fuligula)		
ácьp	word	сущ.	долг		
acь́pvьlьn	word	сущ.	должник		
racьpjáurkьnen	word	гл.	дает в долг || требует долг		
acьpəытkьn	word	гл.	кличет его		
acgémbra, также acgémbran-eur	word	союз	при том же, поелику || к сожалению, к несчастью		
H.B.acgémbra réen æjgulǽtkæ rússыmil	phrase		к сожалению, я еще не умею (говорить) по-русски		
acgьta	word	нар.	рядом		
ac-úkwьn	word	сущ.	кремень	жирный камень	см. æc/ac
ac-úkwьn mátьcьn	word	сущ.	курок для кремня (в кремневом ружье)		
alewlékь(ŋ)	word	нар.	гуськом, друг за другом		
alewlékь válьn	word	прил.	гуськом расположенный, гуськом идущий		
álьm	word	сущ.	лишняя, запасная вещь (в двойном комплекте)		
alьm-érьn	word	сущ.	запасная одежда		
alьm-pélgьn	word	сущ.	запасной ремень		
alьmátьrkьnen	word	гл.	сдваивает, приставляя рядом		
ácьm-ьttьm	word	сущ.	малоберцовая кость голени, также лучевая кость руки	двойная кость	см. lьm
álьmь(ŋ)	word	союз	положим, что...		
álьmь tikwæul, ékwurgam aálomkalen	phrase		положим, я сказал, но он не слушает		
álьmŋə!	phrase		вот как!		
álьŋ	word	нар.	очень, весьма		
álьŋ-atqa(ŋ)	word	нар.	весьма худо		
álьŋ-tārken ŋǽlvьl	phrase		очень малое стадо		
ālgáttь	word	сущ.	топор		отпр. пад. ālgatgájрь
ālgátgarkьn	word	гл.	рубит		
ālgatgatkórkьn	word	гл.	делает топором что-нибудь		
ālgatgaj-pójgьn	word	сущ.	топорище		
álpьnŋьn	word	сущ.	заплата на подошве		
alpьnŋьrkьnen	word	гл.	кладет заплату на подошву обуви		
H.B. alpьnŋьlgьn	word	сущ.	камбала		см. ælvæ
alva	word				см. ælvæ
