Headword_Phrase	Entry_Type	POS	Translation_RU	Literal_Meaning	Grammar_Notes
aácek, orácek	word	сущ.	молодой человек, юноша, парень		
aacew-matálbn	word	сущ.	шурин || деверь		
aapkátsrkın	word	гл.	растворяется, распарывается, распахивается		(прош. II gaaykátlen)
а́аŋкь	word	нар.	настежь, приоткрывшись, распахнувшись		
áapkb válbn	word	прил.	распахнутый, раскрытый		
аадк-е́тьп	word	сущ.	кафтан	распахнутая одежда	
aátgb, также aátir	word	сущ.	ручей		
ácәq	word	сущ.	утка-савка, морянка (Anas fuligula)		
а́сьд	word	сущ.	долг		
ась́уьlьn	word	сущ.	должник		
racbjáurkbnen	word	2.2.	дает в долг || требует долг		(2.2.)
асбәыткьп	word	гл.	кличет его		
acgémbra, также acgémbran-eur	word	союз	при том же, поелику || к сожалению, к весчастью		
acgémbra réen æjgulǽtkæ rússыmil	phrase		к сожалению, я еще не умею (говорить) по-русски		
acgbta	word	нар.	рядом		
ac-úkwbn	word	сущ.	кремень	жирный камень	см.  
ac-úkwbn mátbcon	word	cym.	курок для кремня (в кремневом ружье)		
alewlékb(p)	word	нар.	гуськом, друг за другом		
alewléks válsn	word	прил.	гуськом расположенный, гуськом идущий		
álbm	word	сущ.	лишняя, запасная вещь (в двойном комплекте)		
alsm-érsn	word	сущ.	запасная одежда		
alsm-pélgsn	word	сущ.	запасной ремень		
alsmátbrkbnen	word	гл.	сдваивает, приставляя рядом		
а́сьт-ыttom	word	сущ.	малоберцовая кость годени, также лучевая кость руки	двойная кость	см. 1 bm
а́lьmb(η)	word	сожз	положим, что...		
álbmb tikwæul, ékwurgam aálomkalen	phrase		положим, я сказал, но он не слушает		
а́lвтра!	phrase		вот как!		
а́lьд	word	нар.	очень, весьма		
álbŋ-atqa(0)	word	нар.	весьма худо		
álb p-tārken yǽlvbl	phrase		очень малое стадо		
ālgáttb	word	сущ.	топор (отпр. пад. ālgatgajpb)		
ālgåtgarksn	word	2л.	рубит		
ălgatgatkórkbn	word	гл.	делает топором что-нибудь		
ālgatgaj-pójgbn	word	сущ.	топорище alpbnp		
а́ррыпул	word	сущ.	заплата на подошве		
alpbnŋbrkbnen	word	2л.	кладет заплату на подошву обуви		
alpingblgsn	word	cycu.	камбала		
